Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,FAR_Description,Schedule,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight,Report_Status,Publication_Date,Total_Injuries
20020917X04832,Accident,LAX83FVM04,1982-12-07,"SAN FRANCISCO, CA",United States,,,SFO,SAN FRANCISCO INTL.,Fatal,Substantial,Airplane,N4273X,Swearingen,SA226-T,No,2.0,Turbo Prop,Part 91: General Aviation,,Executive/corporate,,0,0,0,5,VMC,Landing,Probable Cause,07-12-1983,0
20020917X04494,Accident,DCA83AA009,1982-12-07,"CHANTILLY, VA",United States,,,IAD,DULLES INTL,Fatal,Substantial,Airplane,N126AV,Swearingen,SA-226TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Flt America, Inc",0,0,0,6,VMC,Landing,Probable Cause,07-12-1983,0
20020917X04911,Accident,MIA83FA046,1982-12-08,"VALPARAISO, FL",United States,,,,"EGLIN, AFB",Fatal,Destroyed,Airplane,N90692,Piper,PA-601P,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,3,0,0,0,VMC,Takeoff,Probable Cause,08-12-1983,3
20020917X05018,Accident,MKC83LA037,1982-12-08,"LEWELLEN, NE",United States,,,,CALDWELL PRIVATE,Fatal,Substantial,Airplane,N3091B,Cessna,195B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Takeoff,Probable Cause,08-12-1983,0
20020917X04866,Accident,LAX83LA052,1982-12-08,"SOUTH LAKE TAHO, CA",United States,,,TVL,SOUTH LAKE TAHOE,Fatal,Substantial,Airplane,N20016,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,1,1,VMC,Climb,Probable Cause,08-12-1983,1
20020917X04480,Accident,CHI83LA053,1982-12-08,"FRANKFORT, IL",United States,,,C-18,FRANKFORT,Fatal,Substantial,Airplane,N6195Y,Cessna,T210,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,3,IMC,Landing,Probable Cause,08-12-1983,0
20020917X05129,Accident,SEA83AA028,1982-12-09,"NEAR KLAWOCK, AK",United States,,,,,Fatal,Destroyed,Airplane,N68081,De Havilland,DHC-2,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,SCHD,Unknown,"Tyee Airlines, Inc.",8,0,0,0,VMC,Maneuvering,Probable Cause,09-12-1983,8
20020917X04835,Incident,LAX83IA056,1982-12-09,"NEAR PALM SPRIN, CA",United States,,,,,Incident,Minor,Airplane,N1218V,Cessna,551,No,2.0,Turbo Jet,Part 91: General Aviation,,Business,,0,0,0,1,IMC,Climb,Probable Cause,09-12-1983,0
20020917X04798,Accident,LAX83FA055,1982-12-09,"500 NM E, HONOLULU, HI",United States,,,,,Fatal,Destroyed,Airplane,N74957,Piper,PA-31-350,No,2.0,Reciprocating,Part 91: General Aviation,,Ferry,,2,0,0,0,VMC,Cruise,Probable Cause,02-02-2016,2
20020917X04570,Accident,DEN83LA026,1982-12-09,"DENVER, CO",United States,,,,STAPELTON INTERNATIONAL,Fatal,Unknown,Airplane,N7346F,Boeing,737-291,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,"Frontier Airlines, Inc.",0,0,0,57,VMC,Taxi,Probable Cause,09-12-1983,0
20020917X05017,Accident,MKC83LA034,1982-12-09,"ALLIANCE, NE",United States,,,,HASHAGEN RANCH,Fatal,Substantial,Airplane,N89838,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Landing,Probable Cause,09-12-1983,0
20020917X04869,Accident,LAX83LA057,1982-12-09,"WESTLEY, CA",United States,,,,,Fatal,Substantial,Airplane,N6713Q,Grumman,G-164B,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,0,0,0,1,VMC,Maneuvering,Probable Cause,09-12-1983,0
20020917X04371,Accident,ATL83LA057,1982-12-09,"HUNTSVILLE, AL",United States,,,,MADISON COUNTY AIRPORT,Fatal,Substantial,Airplane,N4718S,Cessna,182B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,2,IMC,Approach,Probable Cause,09-12-1983,0
20020917X04370,Accident,ATL83LA056,1982-12-09,"HOLLY SPRINGS, MS",United States,,,,MARSHAL COUNTY,Fatal,Substantial,Airplane,N9115S,Beech,A-36,No,1.0,Reciprocating,Part 91: General Aviation,,Executive/corporate,,0,0,1,2,IMC,Cruise,Probable Cause,09-12-1983,1
20020917X04891,Accident,LAX83LXQ01,1982-12-10,"BRIDGEPORT, CA",United States,,,,,Fatal,Destroyed,Airplane,N6166S,Cessna,T182RG,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,1,1,0,0,VMC,Unknown,Probable Cause,10-12-1983,2
20020917X04436,Incident,CHI83IA054,1982-12-10,"OVER FARGO, ND",United States,,,,,Incident,Minor,Airplane,N1500E,Gates Lear Jet,35A,No,2.0,Turbo Fan,Part 91: General Aviation,,Executive/corporate,,0,0,0,3,VMC,Cruise,Probable Cause,10-12-1983,0
20020917X04481,Accident,CHI83LA055,1982-12-10,"NEENAH, WI",United States,,,79C,NEENAH,Fatal,Substantial,Airplane,N6588E,Cessna,175,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,0,0,0,1,VMC,Takeoff,Probable Cause,10-12-1983,0
20020917X04372,Accident,ATL83LA058,1982-12-10,"HEFLIN, AL",United States,,,,,Fatal,Substantial,Airplane,N22199,Piper,PA-28-181,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,1,IMC,Cruise,Probable Cause,10-12-1983,0
20020917X05167,Accident,SEA83LA030,1982-12-11,"NEAR GOODING, ID",United States,,,,,Fatal,Destroyed,Airplane,N68903,Taylorcraft,L-2,No,1.0,Reciprocating,Part 91: General Aviation,,Unknown,,0,1,1,0,VMC,Maneuvering,Probable Cause,11-12-1983,2
20020917X05133,Accident,SEA83FA029,1982-12-11,"RENTON, WA",United States,,,RNT,RENTON MUNICIPAL,Fatal,Destroyed,Airplane,N9846T,Cessna,172A,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,1,0,0,VMC,Takeoff,Probable Cause,11-12-1983,1
20020917X04871,Accident,LAX83LA059,1982-12-11,"BIG BEAR LAKE, CA",United States,,,L35,,Fatal,Destroyed,Airplane,N1221Q,Cessna,150L,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,2,0,IMC,Takeoff,Probable Cause,11-12-1983,2
